,Month,Trip ID,Plant Code,Depot,City Code,DI No,Lead_SAP,Plant,trip_id,city_code,depot_description,district_description,taluka_descr,city_descr,state_description,Plant_City,Plant_Depot,Plant_District,Plant_Taluka,Plant_CityDescr,latitude,longitude,lat_long_time,sys_creation_date,Orgn_lat,Orgn_lng,Dest_lat,Dest_lng,DtTimeSeq
31,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.386833,88.090933,20012023021734,2023-01-20 02:21:45,24.388,88.084,24.44,87.91,2023-01-20 02:17:34
32,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.510238,87.921902,20012023075803,2023-01-20 08:04:48,24.388,88.084,24.44,87.91,2023-01-20 07:58:03
33,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.387318,88.090213,20012023171843,2023-01-20 17:22:52,24.388,88.084,24.44,87.91,2023-01-20 17:18:43
34,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.387318,88.090213,20012023152843,2023-01-20 15:37:20,24.388,88.084,24.44,87.91,2023-01-20 15:28:43
35,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.386780,88.084311,20012023191512,2023-01-20 19:23:31,24.388,88.084,24.44,87.91,2023-01-20 19:15:12
36,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.386833,88.090933,20012023041234,2023-01-20 04:18:56,24.388,88.084,24.44,87.91,2023-01-20 04:12:34
37,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.386833,88.090933,20012023055734,2023-01-20 06:01:55,24.388,88.084,24.44,87.91,2023-01-20 05:57:34
38,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.386833,88.090933,20012023035234,2023-01-20 03:55:49,24.388,88.084,24.44,87.91,2023-01-20 03:52:34
39,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.386833,88.090933,20012023031234,2023-01-20 03:18:31,24.388,88.084,24.44,87.91,2023-01-20 03:12:34
40,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.386833,88.090933,20012023052234,2023-01-20 05:26:18,24.388,88.084,24.44,87.91,2023-01-20 05:22:34
41,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.386833,88.090933,20012023015734,2023-01-20 02:03:38,24.388,88.084,24.44,87.91,2023-01-20 01:57:34
42,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.387318,88.090213,20012023145843,2023-01-20 15:06:44,24.388,88.084,24.44,87.91,2023-01-20 14:58:43
43,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.391842,88.095262,20012023062105,2023-01-20 06:25:51,24.388,88.084,24.44,87.91,2023-01-20 06:21:05
44,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.387427,88.083004,20012023212933,2023-01-20 21:37:44,24.388,88.084,24.44,87.91,2023-01-20 21:29:33
45,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.458064,88.059227,20012023064631,2023-01-20 06:50:01,24.388,88.084,24.44,87.91,2023-01-20 06:46:31
46,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.387040,88.083920,20012023201610,2023-01-20 20:22:47,24.388,88.084,24.44,87.91,2023-01-20 20:16:10
